Timepoint	Time [s]	Object ID	X	Y	Tracked Nuclei - Age [s]	Tracked Nuclei - Current Displacement X [µm]	Tracked Nuclei - Current Displacement Y [µm]	Tracked Nuclei - Track Point X	Tracked Nuclei - Track Point Y	Tracked Nuclei - Current Step Size [µm]	Tracked Nuclei - Current Speed [µm/s]	Tracks: Tracked Nuclei - Start Type	Tracks: Tracked Nuclei - End Type	Tracks: Tracked Nuclei - Parent ID	Tracks: Tracked Nuclei - Root ID	Tracks: Tracked Nuclei - Accumulated Distance [µm]	Tracks: Tracked Nuclei - Displacement [µm]
3	6	14	577	16	6.047	-1.986	-0.9932	577	20	0.9064	0.4551	Begin	End	14	14	26.18	1.57
4	8	14	575	21	8.03	-2.483	0	576	22	1.11	0.5576	Begin	End	14	14	26.18	1.57
5	10	14	573	19	10.03	-3.476	-0.4966	574	21	0.8035	0.4001	Begin	End	14	14	26.18	1.57
6	12	14	573	18	12.05	-2.98	-0.4966	575	21	0.5995	0.2985	Begin	End	14	14	26.18	1.57
7	14	14	573	19	14.05	-3.476	0	574	22	0.7023	0.3527	Begin	End	14	14	26.18	1.57
8	16	14	573	15	16.03	-2.98	-0.4966	575	21	0.5995	0.2997	Begin	End	14	14	26.18	1.57
9	18	14	574	14	18.05	-2.98	-0.9932	575	20	0.8035	0.4034	Begin	End	14	14	26.18	1.57
10	20	14	574	13	20.01	-2.483	-1.986	576	18	1.11	0.5529	Begin	End	14	14	26.18	1.57
11	22	14	574	11	22.06	-1.986	-2.98	577	16	1.11	0.5552	Begin	End	14	14	26.18	1.57
12	24	14	577	10	24.01	-1.49	-3.973	578	14	1.3	0.6501	Begin	End	14	14	26.18	1.57
13	26	14	574	7	26.06	-1.49	-5.463	578	11	0.9932	0.4946	Begin	End	14	14	26.18	1.57
14	28	14	579	10	28.03	-1.986	-5.463	577	11	1.272	0.6415	Begin	End	14	14	26.18	1.57
15	30	14	579	13	30.03	-1.49	-3.476	578	15	1.726	0.8594	Begin	End	14	14	26.18	1.57
16	32	14	577	14	32.05	-0.4966	-2.483	580	17	1.053	0.5245	Begin	End	14	14	26.18	1.57
17	34	14	577	15	34.05	-0.9932	-1.986	579	18	0.7023	0.3527	Begin	End	14	14	26.18	1.57
18	36	14	577	16	36.03	-0.4966	-1.49	580	19	0.7023	0.3527	Begin	End	14	14	26.18	1.57
19	38	14	578	16	38.03	0	-0.9932	581	20	0.5995	0.2997	Begin	End	14	14	26.18	1.57
20	40	14	580	18	40.03	-0.4966	-0.9932	580	20	0.4966	0.2483	Begin	End	14	14	26.18	1.57
21	42	14	580	17	42.03	-0.4966	-1.49	580	19	0.8035	0.4018	Begin	End	14	14	26.18	1.57
22	44	14	581	19	44.03	0	-0.4966	581	21	0.5552	0.2764	Begin	End	14	14	26.18	1.57
23	46	14	577	17	46.05	0	-0.4966	581	21	0.2483	0.1247	Begin	End	14	14	26.18	1.57
24	48	14	578	18	48.01	0	0	581	22	0.8035	0.4035	Begin	End	14	14	26.18	1.57
25	50	14	577	19	50.03	-0.4966	0.9932	580	24	0.8035	0.4002	Begin	End	14	14	26.18	1.57
26	52	14	578	20	52.03	-0.4966	1.49	580	25	1.034	0.5146	Begin	End	14	14	26.18	1.57
27	54	14	581	19	54.05	0.9932	0.9932	583	24	1.034	0.5168	Begin	End	14	14	26.18	1.57
28	56	14	578	18	56.03	0.4966	0.9932	582	24	0.4966	0.2504	Begin	End	14	14	26.18	1.57
29	58	14	582	19	58.01	0.4966	0.4966	582	23	0.2483	0.1236	Begin	End	14	14	26.18	1.57
30	60	14	582	18	60.05	0.4966	0.4966	582	23	0.4966	0.2463	Begin	End	14	14	26.18	1.57
31	62	14	584	20	62.05	1.49	0.4966	584	23	0.9932	0.4966	Begin	End	14	14	26.18	1.57
0	0	15	563	17	0	0	0	560	19	0.7023	0.346	Begin	End	15	15	23.78	4.497
1	2	15	562	17	2.03	-0.4966	-0.4966	559	18	0.8478	0.419	Begin	End	15	15	23.78	4.497
2	4	15	562	20	4.047	-0.4966	0.4966	559	20	0.9932	0.4945	Begin	End	15	15	23.78	4.497
3	6	15	564	20	6.047	0.4966	0.4966	561	20	1.052	0.5282	Begin	End	15	15	23.78	4.497
4	8	15	560	22	8.03	-0.4966	0.9932	559	21	1.11	0.5576	Begin	End	15	15	23.78	4.497
5	10	15	560	22	10.03	-1.49	1.49	557	22	1.11	0.5529	Begin	End	15	15	23.78	4.497
6	12	15	559	23	12.05	-2.483	1.986	555	23	0.5552	0.2764	Begin	End	15	15	23.78	4.497
7	14	15	558	22	14.05	-2.483	1.986	555	23	0.3512	0.1763	Begin	End	15	15	23.78	4.497
8	16	15	558	21	16.03	-2.98	1.49	554	22	0.5995	0.2997	Begin	End	15	15	23.78	4.497
9	18	15	558	21	18.05	-2.98	0.9932	554	21	0.7449	0.374	Begin	End	15	15	23.78	4.497
10	20	15	558	24	20.01	-2.98	1.986	554	23	0.9932	0.4945	Begin	End	15	15	23.78	4.497
11	22	15	559	24	22.06	-1.986	1.986	556	23	0.7449	0.3725	Begin	End	15	15	23.78	4.497
12	24	15	558	24	24.01	-1.986	2.483	556	24	0.4966	0.2483	Begin	End	15	15	23.78	4.497
13	26	15	558	25	26.06	-1.986	2.98	556	25	0.5995	0.2985	Begin	End	15	15	23.78	4.497
14	28	15	559	25	28.03	-1.49	2.483	557	24	0.5995	0.3023	Begin	End	15	15	23.78	4.497
15	30	15	559	24	30.03	-1.986	2.483	556	24	0.4966	0.2473	Begin	End	15	15	23.78	4.497
16	32	15	561	27	32.05	-1.986	2.98	556	25	0.8035	0.4001	Begin	End	15	15	23.78	4.497
17	34	15	561	27	34.05	-0.9932	3.476	558	26	0.9064	0.4551	Begin	End	15	15	23.78	4.497
18	36	15	563	27	36.03	-0.4966	2.98	559	25	0.9064	0.4551	Begin	End	15	15	23.78	4.497
19	38	15	563	27	38.03	0.4966	3.476	561	26	0.8035	0.4018	Begin	End	15	15	23.78	4.497
20	40	15	564	29	40.03	0.4966	3.973	561	27	0.4966	0.2483	Begin	End	15	15	23.78	4.497
21	42	15	564	26	42.03	0.4966	3.476	561	26	0.4966	0.2483	Begin	End	15	15	23.78	4.497
22	44	15	565	26	44.03	0	3.476	560	26	0.5995	0.2985	Begin	End	15	15	23.78	4.497
23	46	15	563	25	46.05	0.4966	2.98	561	25	0.7023	0.3526	Begin	End	15	15	23.78	4.497
